Stock Name	Score	Type	Date
Copenhagen Capital	0,0005352602703065923	Negative	2019-06-04
Copenhagen Capital	0,0004347960583073185	Negative	2019-06-03
Copenhagen Capital	0,0004347234204465922	Negative	2019-06-02
Copenhagen Capital	0,0005354752342707769	Negative	2019-06-01
Copenhagen Capital	0,0005691823475386659	Negative	2019-05-31
Copenhagen Capital	0,0001336764361863363	Negative	2019-05-30
Copenhagen Capital	0,0006697078857218486	Negative	2019-05-29
Copenhagen Capital	0,0009719996109046614	Negative	2019-05-28
Copenhagen Capital	0,0007038859952106513	Negative	2019-05-27
Harboes Bryggeri	0,0016362730992981467	Positive	2019-05-29
Harboes Bryggeri	0,0016963546832118315	Positive	2019-05-28
Harboes Bryggeri	0,0014737681329242136	Positive	2019-05-27
SP Group	0,0034549785424626833	Positive	2019-05-31
SP Group	0,00370045458891477	Positive	2019-05-30
SP Group	0,0042945469649229295	Positive	2019-05-29
SP Group	0,0041535973282768035	Positive	2019-05-28
SP Group	0,003844987993928184	Positive	2019-05-27
Totalbanken	0,01323319951602342	Negative	2019-05-29
Totalbanken	0,01298757391006422	Negative	2019-05-28
Totalbanken	0,013094340522242676	Negative	2019-05-27
PiezoMotor	0,0009308447430318445	Negative	2019-05-31
PiezoMotor	0,0008225090382218969	Negative	2019-05-30
PiezoMotor	0,001648051587662569	Negative	2019-05-29
PiezoMotor	0,0014307168426263006	Negative	2019-05-28
PiezoMotor	0,0012891470225175894	Negative	2019-05-27
Pareto Bank	0,0017098956061337711	Positive	2019-06-02
Pareto Bank	0,0016276947319407986	Positive	2019-06-01
Pareto Bank	0,001479190462500335	Positive	2019-05-31
Pareto Bank	0,0017966786672839463	Positive	2019-05-30
Pareto Bank	0,001329812395025165	Positive	2019-05-29
Pareto Bank	0,0010771427716562698	Positive	2019-05-28
Pareto Bank	0,0009037890347192157	Positive	2019-05-27
AdderaCare	0,006150106922281795	Positive	2019-05-28
AdderaCare	0,004838923496783387	Positive	2019-05-27
Sonetel	0,007545495386486856	Positive	2019-05-28
Sonetel	0,0074284777092006316	Positive	2019-05-27
Abelco Investment	0,014382006544813919	Positive	2019-06-01
Abelco Investment	0,01403656095544914	Positive	2019-05-31
Abelco Investment	0,01369369344210658	Positive	2019-05-30
Abelco Investment	0,013223558929972512	Positive	2019-05-29
Abelco Investment	0,01278814961425212	Positive	2019-05-28
Abelco Investment	0,016131059569260975	Positive	2019-05-27
Handicare	0,001916103294827165	Positive	2019-06-02
Handicare	0,0021106116341266246	Positive	2019-06-01
Handicare	0,0019257454756262948	Positive	2019-05-31
Handicare	0,002150463828974325	Positive	2019-05-30
Handicare	0,0014151558361947814	Positive	2019-05-29
Handicare	0,0006572651698605325	Positive	2019-05-28
Handicare	0,000644981561467528	Positive	2019-05-27
Lillestrom Sparebank	0,0014964459408903785	Negative	2019-05-30
Lillestrom Sparebank	0,0014986886474336325	Negative	2019-05-29
Lillestrom Sparebank	0,000984887445887761	Negative	2019-05-28
ObsteCare	0,003999608181500691	Negative	2019-06-01
ObsteCare	0,004136536246797551	Negative	2019-05-31
ObsteCare	0,0034238486244131394	Negative	2019-05-30
ObsteCare	0,003776748498171556	Negative	2019-05-29
ObsteCare	0,0024227299176280415	Negative	2019-05-28
ObsteCare	0,0014254868643995833	Negative	2019-05-27
Slottsviken A	0,005804814077978504	Negative	2019-06-02
Slottsviken A	0,005873506487746649	Negative	2019-06-01
Slottsviken A	0,005943528611066506	Negative	2019-05-31
Slottsviken A	0,00601491729124537	Negative	2019-05-30
Slottsviken A	0,006087710721327078	Negative	2019-05-29
Slottsviken A	0,0061619485061125134	Negative	2019-05-28
Victoria Park B	0,0006948947147997764	Positive	2019-06-04
Victoria Park B	0,000694419542472513	Positive	2019-06-03
Victoria Park B	0,0008152898339194303	Positive	2019-06-02
Victoria Park B	0,000841825569393384	Positive	2019-06-01
Victoria Park B	0,0009020032214885898	Positive	2019-05-31
Victoria Park B	0,0007198137126973592	Positive	2019-05-30
Victoria Park B	0,0008873532054705091	Positive	2019-05-29
Victoria Park B	0,0006719293996109155	Positive	2019-05-28
Victoria Park B	0,00042365753970075026	Positive	2019-05-27
Salmones Camanchaca	0,0027223539207540393	Negative	2019-05-27
I-Tech	0,008444647398945238	Negative	2019-05-31
I-Tech	0,006939153442152679	Negative	2019-05-30
I-Tech	0,00839121693577738	Negative	2019-05-29
I-Tech	0,008185934970804998	Negative	2019-05-28
I-Tech	0,007649772084459938	Negative	2019-05-27
Calliditas Therapeutics	0,003195404642393207	Positive	2019-06-04
Calliditas Therapeutics	0,0034720695939429724	Positive	2019-06-03
Calliditas Therapeutics	0,003545860613712648	Positive	2019-06-02
Calliditas Therapeutics	0,0035167273567892066	Positive	2019-06-01
Calliditas Therapeutics	0,0036203385892957796	Positive	2019-05-31
Calliditas Therapeutics	0,0032559850317392947	Positive	2019-05-30
Calliditas Therapeutics	0,003525918357279667	Positive	2019-05-29
Calliditas Therapeutics	0,003133974105543502	Positive	2019-05-28
Calliditas Therapeutics	0,0032902754062137385	Positive	2019-05-27
VMP	0,004256428084322028	Positive	2019-06-04
VMP	0,004339622767947193	Positive	2019-06-03
VMP	0,0036328826621644383	Positive	2019-06-02
VMP	0,0033660544272160475	Positive	2019-06-01
VMP	0,004002864554857322	Positive	2019-05-31
VMP	0,00399755775541788	Positive	2019-05-30
VMP	0,003891445932728832	Positive	2019-05-29
VMP	0,0038830390631134915	Positive	2019-05-28
VMP	0,003559852997937818	Positive	2019-05-27
